Ca thi,Ngày,GIỜ,Thời gian,Thứ,MS Ca thi,Cơ sở,Số lượng cán bộ cần thiết
"Chủ Nhật, 31/05/2026, Ca 3: 13g00-15g30",2026-05-31 00:00:00,13g00,150,Chủ Nhật,20260531_3,Cơ sở 1,4
"Thứ 2, 01/06/2026, Ca 1: 07g00-09g30",2026-06-01 00:00:00,07g00,150,Thứ 2,20260601_1,Cơ sở 2,1
"Thứ 2, 01/06/2026, Ca 2: 09g30-12g00",2026-06-01 00:00:00,09g30,150,Thứ 2,20260601_2,Cơ sở 2,32
"Thứ 2, 01/06/2026, Ca 3: 13g00-15g30",2026-06-01 00:00:00,13g00,150,Thứ 2,20260601_3,Cơ sở 2,28
"Thứ 2, 01/06/2026, Ca 4: 15g30-18g00",2026-06-01 00:00:00,15g30,150,Thứ 2,20260601_4,Cơ sở 2,1
"Thứ 2, 01/06/2026, Ca 5: 18g15-20g45",2026-06-01 00:00:00,18g15,150,Thứ 2,20260601_5,Cơ sở 1,1
"Thứ 3, 02/06/2026, Ca 1: 07g00-09g30",2026-06-02 00:00:00,07g00,150,Thứ 3,20260602_1,Cơ sở 2,1
"Thứ 3, 02/06/2026, Ca 2: 09g30-12g00",2026-06-02 00:00:00,09g30,150,Thứ 3,20260602_2,Cơ sở 2,32
"Thứ 3, 02/06/2026, Ca 3: 13g00-15g30",2026-06-02 00:00:00,13g00,150,Thứ 3,20260602_3,Cơ sở 2,32
"Thứ 3, 02/06/2026, Ca 4: 15g30-18g00",2026-06-02 00:00:00,15g30,150,Thứ 3,20260602_4,Cơ sở 2,15
"Thứ 3, 02/06/2026, Ca 5: 18g15-20g45",2026-06-02 00:00:00,18g15,150,Thứ 3,20260602_5,Cơ sở 1,2
"Thứ 4, 03/06/2026, Ca 1: 07g00-09g30",2026-06-03 00:00:00,07g00,150,Thứ 4,20260603_1,Cơ sở 2,31
"Thứ 4, 03/06/2026, Ca 2: 09g30-12g00",2026-06-03 00:00:00,09g30,150,Thứ 4,20260603_2,Cơ sở 2,31
"Thứ 4, 03/06/2026, Ca 3: 13g00-15g30",2026-06-03 00:00:00,13g00,150,Thứ 4,20260603_3,Cơ sở 2,31
"Thứ 4, 03/06/2026, Ca 4: 15g30-18g00",2026-06-03 00:00:00,15g30,150,Thứ 4,20260603_4,Cơ sở 2,21
"Thứ 5, 04/06/2026, Ca 1: 07g00-09g30",2026-06-04 00:00:00,07g00,150,Thứ 5,20260604_1,Cơ sở 2,10
"Thứ 5, 04/06/2026, Ca 2: 09g30-12g00",2026-06-04 00:00:00,09g30,150,Thứ 5,20260604_2,Cơ sở 2,4
"Thứ 5, 04/06/2026, Ca 2: 09g30-12g00",2026-06-04 00:00:00,09g30,150,Thứ 5,20260604_2,Cơ sở 1,7
"Thứ 5, 04/06/2026, Ca 3: 13g00-15g30",2026-06-04 00:00:00,13g00,150,Thứ 5,20260604_3,Cơ sở 2,2
"Thứ 6, 05/06/2026, Ca 2: 09g30-12g00",2026-06-05 00:00:00,09g30,150,Thứ 6,20260605_2,Cơ sở 1,22
"Thứ 6, 05/06/2026, Ca 3: 13g00-15g30",2026-06-05 00:00:00,13g00,150,Thứ 6,20260605_3,Cơ sở 1,30
"Thứ 6, 05/06/2026, Ca 4: 15g30-18g00",2026-06-05 00:00:00,15g30,150,Thứ 6,20260605_4,Cơ sở 1,5
"Thứ 2, 08/06/2026, Ca 2: 09g30-12g00",2026-06-08 00:00:00,09g30,150,Thứ 2,20260608_2,Cơ sở 1,30
"Thứ 2, 08/06/2026, Ca 3: 13g00-15g30",2026-06-08 00:00:00,13g00,150,Thứ 2,20260608_3,Cơ sở 1,30
"Thứ 2, 08/06/2026, Ca 4: 15g30-18g00",2026-06-08 00:00:00,15g30,150,Thứ 2,20260608_4,Cơ sở 1,4
"Thứ 3, 09/06/2026, Ca 2: 09g30-12g00",2026-06-09 00:00:00,09g30,150,Thứ 3,20260609_2,Cơ sở 2,20
"Thứ 3, 09/06/2026, Ca 2: 09g30-12g00",2026-06-09 00:00:00,09g30,150,Thứ 3,20260609_2,Cơ sở 1,5
"Thứ 3, 09/06/2026, Ca 3: 13g00-15g30",2026-06-09 00:00:00,13g00,150,Thứ 3,20260609_3,Cơ sở 2,15
"Thứ 4, 10/06/2026, Ca 3: 13g00-15g30",2026-06-10 00:00:00,13g00,150,Thứ 4,20260610_3,Cơ sở 2,30
"Thứ 4, 10/06/2026, Ca 3: 13g00-15g30",2026-06-10 00:00:00,13g00,150,Thứ 4,20260610_3,Cơ sở 1,5
"Thứ 5, 11/06/2026, Ca 3: 13g00-15g30",2026-06-11 00:00:00,13g00,150,Thứ 5,20260611_3,Cơ sở 2,29
"Thứ 5, 11/06/2026, Ca 3: 13g00-15g30",2026-06-11 00:00:00,13g00,150,Thứ 5,20260611_3,Cơ sở 1,2
"Thứ 6, 12/06/2026, Ca 1: 07g00-09g30",2026-06-12 00:00:00,07g00,150,Thứ 6,20260612_1,Cơ sở 1,32
"Thứ 6, 12/06/2026, Ca 2: 09g30-12g00",2026-06-12 00:00:00,09g30,150,Thứ 6,20260612_2,Cơ sở 1,6
"Thứ 6, 12/06/2026, Ca 3: 13g00-15g30",2026-06-12 00:00:00,13g00,150,Thứ 6,20260612_3,Cơ sở 1,31
"Thứ 6, 12/06/2026, Ca 4: 15g30-18g00",2026-06-12 00:00:00,15g30,150,Thứ 6,20260612_4,Cơ sở 1,21
"Thứ 7, 13/06/2026, Ca 1: 07g00-09g30",2026-06-13 00:00:00,07g00,150,Thứ 7,20260613_1,Cơ sở 1,4
"Thứ 7, 13/06/2026, Ca 2: 09g30-12g00",2026-06-13 00:00:00,09g30,150,Thứ 7,20260613_2,Cơ sở 2,6
"Thứ 7, 13/06/2026, Ca 2: 09g30-12g00",2026-06-13 00:00:00,09g30,150,Thứ 7,20260613_2,Cơ sở 1,2
"Thứ 7, 13/06/2026, Ca 3: 13g00-15g30",2026-06-13 00:00:00,13g00,150,Thứ 7,20260613_3,Cơ sở 2,6
"Thứ 7, 13/06/2026, Ca 3: 13g00-15g30",2026-06-13 00:00:00,13g00,150,Thứ 7,20260613_3,Cơ sở 1,4
"Thứ 7, 13/06/2026, Ca 4: 15g30-18g00",2026-06-13 00:00:00,15g30,150,Thứ 7,20260613_4,Cơ sở 2,6
"Thứ 7, 13/06/2026, Ca 4: 15g30-18g00",2026-06-13 00:00:00,15g30,150,Thứ 7,20260613_4,Cơ sở 1,4
"Thứ 2, 08/06/2026, Ca 1: 07g00-09g30",2026-06-08 00:00:00,07g00,150,Thứ 2,20260608_1,Cơ sở 2,2
"Thứ 2, 08/06/2026, Ca 2: 09g30-12g00",2026-06-08 00:00:00,09g30,150,Thứ 2,20260608_2,Cơ sở 2,3
"Thứ 2, 08/06/2026, Ca 3: 13g00-15g30",2026-06-08 00:00:00,13g00,150,Thứ 2,20260608_3,Cơ sở 2,3
"Thứ 2, 08/06/2026, Ca 4: 15g30-18g00",2026-06-08 00:00:00,15g30,150,Thứ 2,20260608_4,Cơ sở 2,3
"Thứ 3, 09/06/2026, Ca 4: 15g30-18g00",2026-06-09 00:00:00,15g30,150,Thứ 3,20260609_4,Cơ sở 2,1
"Thứ 4, 10/06/2026, Ca 1: 07g00-09g30",2026-06-10 00:00:00,07g00,150,Thứ 4,20260610_1,Cơ sở 2,1
"Thứ 4, 10/06/2026, Ca 1: 07g00-09g30",2026-06-10 00:00:00,07g00,150,Thứ 4,20260610_1,Cơ sở 1,1
"Thứ 4, 10/06/2026, Ca 2: 09g30-12g00",2026-06-10 00:00:00,09g30,150,Thứ 4,20260610_2,Cơ sở 1,1
"Thứ 4, 10/06/2026, Ca 4: 15g30-18g00",2026-06-10 00:00:00,15g30,150,Thứ 4,20260610_4,Cơ sở 1,1
"Thứ 5, 11/06/2026, Ca1 : 07g00-09g30",2026-06-11 00:00:00,07g00,150,Thứ 5,20260611_1,Cơ sở 1,1
"Thứ 6, 12/06/2026, Ca 3: 13g00-15g30",2026-06-12 00:00:00,13g00,150,Thứ 6,20260612_3,Cơ sở 2,2
"Thứ 6, 12/06/2026, Ca 4: 15g30-18g00",2026-06-12 00:00:00,15g30,150,Thứ 6,20260612_4,Cơ sở 2,1
